医療機関CD,医療機関名,年度,施設区分,日付,方法,連携機関対応者部署,連携機関対応者役職,連携機関対応者氏名,連携機関対応人数・氏名,当院対応者所属,当院対応者氏名,当院対応人数・氏名,内容,備考,データ作成部署
0700483,青木内科,2023,0,2023-12-01,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0710102,大山眼科,2023,0,2023-12-01,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0710185,タカヤクリニック,2023,0,2023-12-01,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2900149,山成医院,2023,0,2023-12-01,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2910015,河合医院,2023,0,2023-12-01,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0501063,木野山医院,2023,0,2023-12-04,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0501097,谷口クリニック,2023,0,2023-12-04,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0501113,安倍医院,2023,0,2023-12-04,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510270,平山内科整形外科クリニック,2023,0,2023-12-04,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510338,小田内科医院,2023,0,2023-12-04,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510346,さくらい内科小児科医院金浦診療所,2023,0,2023-12-04,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0710045,きのこ診療所,2023,0,2023-12-04,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710100,礒川内科医院,2023,0,2023-12-04,訪問,,院長,,看護師,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0213529,倉敷てんげん眼科,2023,0,2023-12-05,訪問,,院長,岡安隆,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0501022,渡辺クリニック,2023,0,2023-12-05,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510262,斎藤内科消化器科,2023,0,2023-12-05,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510288,武田耳鼻咽喉科医院,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510387,猪木医院,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510411,さなだ耳鼻咽喉科医院,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510437,永山眼科クリニック,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510452,おぐるすハートクリニック内科循環器呼吸器科,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0510460,はらだ眼科,2023,0,2023-12-05,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0207125,寒川医院,2023,0,2023-12-07,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0501204,さとう消化器肛門外科,2023,0,2023-12-07,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2700747,白神医院,2023,0,2023-12-07,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710126,福嶋医院,2023,0,2023-12-07,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710167,よりしま中西医院,2023,0,2023-12-07,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2700663,くにもと内科小児科医院,2023,0,2023-12-08,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710050,鴨方第一内科クリニック,2023,0,2023-12-08,訪問,,副院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710068,田中眼科医院,2023,0,2023-12-08,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710118,なかむら眼科,2023,0,2023-12-08,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710209,たけ耳鼻咽喉科医院,2023,0,2023-12-08,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710233,にいつクリニック,2023,0,2023-12-08,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
1600021,さかの整形外科,2023,0,2023-12-11,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
1600054,すくすくこどもクリニック,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
1610020,上田内科クリニック,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2700770,高山医院,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710076,ナガヒロ医院,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710159,ほかま医院,2023,0,2023-12-11,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710217,鴨方整形外科,2023,0,2023-12-11,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710225,鴨方クリニック,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710241,にいつ耳鼻咽喉科医院,2023,0,2023-12-11,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0203983,宮尾整形外科医院,2023,0,2023-12-12,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211192,小野内科医院,2023,0,2023-12-12,訪問,,看護師,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211994,鴨井医院,2023,0,2023-12-12,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212083,タナベ内科医院,2023,0,2023-12-12,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212166,ゆのき医院,2023,0,2023-12-12,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212604,鳥越整形外科医院,2023,0,2023-12-12,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0213081,新倉敷ピーチクリニック,2023,0,2023-12-12,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0213438,きむら眼科,2023,0,2023-12-12,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0205178,たかはし医院,2023,0,2023-12-13,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0207018,かわかみこどもクリニック,2023,0,2023-12-13,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0210897,新倉敷メディカルスクエア,2023,0,2023-12-13,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211184,のぞみキッズクリニック,2023,0,2023-12-13,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211440,山下整形外科医院,2023,0,2023-12-13,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211846,かわたクリニック,2023,0,2023-12-13,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0213354,玉島南眼科,2023,0,2023-12-13,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0210749,水島協同病院,2023,0,2023-12-14,訪問,,院長,,,地域医療連携室,小野,福倉先生、難波係長,放射線科PR活動,,地域医療連携室
0203280,ヤスハラ医院,2023,0,2023-12-15,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0204973,当真内科医院,2023,0,2023-12-15,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0205103,守屋おさむクリニック,2023,0,2023-12-15,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211143,中塚医院,2023,0,2023-12-15,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211473,守谷整形外科医院,2023,0,2023-12-15,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212059,勇崎内科胃腸科医院,2023,0,2023-12-15,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212208,いなだ医院,2023,0,2023-12-15,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0212737,山岡医院,2023,0,2023-12-15,訪問,,副院長,山岡　俊彦,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0213347,みつおかクリニック,2023,0,2023-12-15,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
2710217,鴨方整形外科,2023,0,2023-12-15,訪問,,受付,,,地域医療連携室,小野,,附属病院の予約票・診療情報提供書の一式を配布,,地域医療連携室
0204411,植田医院,2023,0,2023-12-18,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0204940,石医院,2023,0,2023-12-18,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0205608,仁科小児科内科医院,2023,0,2023-12-18,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211267,植村眼科医院,2023,0,2023-12-18,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211317,藤田医院,2023,0,2023-12-18,訪問,,看護師,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211648,古城耳鼻咽喉科医院,2023,0,2023-12-18,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211762,のぞみクリニック,2023,0,2023-12-18,訪問,,院長,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
0211739,西原内科循環器科,2023,0,2024-01-10,訪問,,副院長,"藤原 敦史",,地域医療連携室,小野,,オンライン予約システムの案内,,地域医療連携室
0510288,武田耳鼻咽喉科医院,2023,0,2024-01-10,訪問,,受付,,,地域医療連携室,小野,,病診連携に関する挨拶,,地域医療連携室
